spatial id,temporal id,Target (normal),Normal target,occurrence t-6,occurrence t-5,occurrence t-4,occurrence t-3,occurrence t-2,occurrence t-1,occurrence t
3,55,0.0,0.0,0,0,0,0,0,0,0
4,55,0.0,0.0,0,0,0,0,0,0,0
5,55,0.0,0.0,0,1,0,0,0,1,1
6,55,0.0,0.0,0,0,0,0,1,1,0
7,55,0.0,0.0,0,0,0,0,0,0,0
8,55,0.0,0.0,0,0,1,0,0,0,0
9,55,0.0,0.0,0,0,0,0,0,0,0
1,56,1.0,1.0,1,0,0,0,1,0,0
2,56,1.0,1.0,0,0,0,0,0,0,1
3,56,0.0,0.0,0,0,0,0,0,0,0
4,56,0.0,0.0,0,0,0,0,0,0,0
5,56,0.0,0.0,1,0,0,0,1,1,1
6,56,1.0,1.0,0,0,0,1,1,0,1
7,56,0.0,0.0,0,0,0,0,0,0,0
8,56,0.0,0.0,0,1,0,0,0,0,0
9,56,0.0,0.0,0,0,0,0,0,0,0
1,57,0.0,0.0,0,0,0,1,0,0,1
2,57,0.0,0.0,0,0,0,0,0,1,0
3,57,0.0,0.0,0,0,0,0,0,0,0
4,57,0.0,0.0,0,0,0,0,0,0,0
5,57,0.0,0.0,0,0,0,1,1,1,1
6,57,1.0,1.0,0,0,1,1,0,1,0
7,57,0.0,0.0,0,0,0,0,0,0,1
8,57,0.0,0.0,1,0,0,0,0,0,0
9,57,0.0,0.0,0,0,0,0,0,0,1
1,58,0.0,0.0,0,0,1,0,0,1,1
2,58,0.0,0.0,0,0,0,0,1,0,0
3,58,0.0,0.0,0,0,0,0,0,0,0
4,58,0.0,0.0,0,0,0,0,0,0,0
5,58,0.0,0.0,0,0,1,1,1,1,0
6,58,0.0,0.0,0,1,1,0,1,0,1
7,58,0.0,0.0,0,0,0,0,0,1,0
8,58,0.0,0.0,0,0,0,0,0,0,0
9,58,0.0,0.0,0,0,0,0,0,1,0
1,59,0.0,0.0,0,1,0,0,1,1,0
2,59,0.0,0.0,0,0,0,1,0,0,1
3,59,0.0,0.0,0,0,0,0,0,0,0
4,59,0.0,0.0,0,0,0,0,0,0,0
5,59,1.0,1.0,0,1,1,1,1,0,0
6,59,1.0,1.0,1,1,0,1,0,1,1
7,59,0.0,0.0,0,0,0,0,1,0,0
8,59,0.0,0.0,0,0,0,0,0,0,0
9,59,0.0,0.0,0,0,0,0,1,0,0
1,60,0.0,0.0,1,0,0,1,1,0,0
2,60,0.0,0.0,0,0,1,0,0,1,0
3,60,1.0,1.0,0,0,0,0,0,0,0
4,60,1.0,1.0,0,0,0,0,0,0,0
5,60,1.0,1.0,1,1,1,1,0,0,0
6,60,0.0,0.0,1,0,1,0,1,1,1
7,60,0.0,0.0,0,0,0,1,0,0,0
8,60,0.0,0.0,0,0,0,0,0,0,0
9,60,0.0,0.0,0,0,0,1,0,0,0
1,61,1.0,1.0,0,0,1,1,0,0,0
2,61,1.0,1.0,0,1,0,0,1,0,1
3,61,0.0,0.0,0,0,0,0,0,0,0
4,61,0.0,0.0,0,0,0,0,0,0,0
5,61,1.0,1.0,1,1,1,0,0,0,0
6,61,1.0,1.0,0,1,0,1,1,1,1
7,61,0.0,0.0,0,0,1,0,0,0,0
8,61,0.0,0.0,0,0,0,0,0,0,0
9,61,0.0,0.0,0,0,1,0,0,0,0
1,62,1.0,1.0,0,1,1,0,0,0,1
2,62,0.0,0.0,1,0,0,1,0,1,0
3,62,0.0,0.0,0,0,0,0,0,0,0
4,62,0.0,0.0,0,0,0,0,0,0,0
5,62,0.0,0.0,1,1,0,0,0,0,0
6,62,0.0,0.0,1,0,1,1,1,1,1
7,62,0.0,0.0,0,1,0,0,0,0,0
8,62,0.0,0.0,0,0,0,0,0,0,0
9,62,0.0,0.0,0,1,0,0,0,0,0
1,63,0.0,0.0,1,1,0,0,0,1,1
2,63,0.0,0.0,0,0,1,0,1,0,0
3,63,0.0,0.0,0,0,0,0,0,0,0
4,63,0.0,0.0,0,0,0,0,0,0,0
5,63,0.0,0.0,1,0,0,0,0,0,0
6,63,0.0,0.0,0,1,1,1,1,1,1
7,63,0.0,0.0,1,0,0,0,0,0,0
8,63,0.0,0.0,0,0,0,0,0,0,0
9,63,0.0,0.0,1,0,0,0,0,0,0
1,64,1.0,1.0,1,0,0,0,1,1,1
2,64,1.0,1.0,0,1,0,1,0,0,1
3,64,0.0,0.0,0,0,0,0,0,0,0
4,64,0.0,0.0,0,0,0,0,0,0,0
5,64,0.0,0.0,0,0,0,0,0,0,0
6,64,0.0,0.0,1,1,1,1,1,1,1
7,64,0.0,0.0,0,0,0,0,0,0,0
8,64,0.0,0.0,0,0,0,0,0,0,0
